Song Name,Song-url,Artist,Artist-url,Artist Country,Release year
"Gimme, Gimme, Gimme",https://secondhandsongs.com/performance/377234/versions,Top of the Pops,https://secondhandsongs.com/artist/78114,United Kingdom,1979
"Gimme, Gimme, Gimme (A Man After Midnight)",https://secondhandsongs.com/performance/493281/versions,Cantus-Chor,https://secondhandsongs.com/artist/101553,Germany,1979
"Gimme, Gimme, Gimme (A Man After Midnight)",https://secondhandsongs.com/performance/884851/versions,The Hiltonaires [DE],https://secondhandsongs.com/artist/53910,Germany,1979
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/1526648/versions,Springbok,https://secondhandsongs.com/artist/148112,South Africa,1980
Gimme Gimme Gimme,https://secondhandsongs.com/performance/1427382/versions,Mario Cavallero son orchestre et ses chanteurs,https://secondhandsongs.com/artist/154958,France,1980
Stars on 45 - Voulez-Vous - S.O.S. - Bang a Boomerang - Money Money - Knowing Me Knowing You - Fern…,https://secondhandsongs.com/performance/600132/versions,Stars on 45,https://secondhandsongs.com/artist/39612,Netherlands,1981
"Abba Medley: Gimme! Gimme! Gimme! (A Man After Midnight) / Knowing Me, Knowing You / Super Trouper …",https://secondhandsongs.com/performance/595811/versions,Mini★Pops,https://secondhandsongs.com/artist/115940,United Kingdom,1981
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/75399/versions,Erasure,https://secondhandsongs.com/artist/440,United Kingdom,1986
Gimme Gimme Gimme!,https://secondhandsongs.com/performance/29303/versions,The Leather Nun,https://secondhandsongs.com/artist/16063,Sweden,1986
"Gimme, Gimme, Gimme",https://secondhandsongs.com/performance/544785/versions,Lars Vegas Trio,https://secondhandsongs.com/artist/108402,Sweden,1992
"Gimme, Gimme, Gimme",https://secondhandsongs.com/performance/610234/versions,Abbacadabra [GB],https://secondhandsongs.com/artist/118134,United Kingdom,1992
Gimme! Gimme! Gimme!/Super Trouper,https://secondhandsongs.com/performance/549867/versions,Björn Again,https://secondhandsongs.com/artist/7063,Australia,1994
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/242575/versions,Dusty Cowshit,https://secondhandsongs.com/artist/66229,Norway,1995
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/1088509/versions,San Francisco Gay Men's Chorus with Nota Bene,https://secondhandsongs.com/artist/126580,United States,1997
Gimme Gimme Gimme a Man After Midnight,https://secondhandsongs.com/performance/403763/versions,Sydney Gay & Lesbian Choir,https://secondhandsongs.com/artist/92617,Australia,1997
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/1092690/versions,London Gay Men's Chorus,https://secondhandsongs.com/artist/177349,United Kingdom,1998
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/187/versions,A*Teens,https://secondhandsongs.com/artist/120,Sweden,1999
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/1337296/versions,"Lisa Stokke, Hilton McRae, Paul Clarkson and Nicolas Colicos",https://secondhandsongs.com/artist/41248+41249+41250+41251,Norway,1999
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/46004/versions,Denise Van Outen,https://secondhandsongs.com/artist/21642,United Kingdom,1999
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/501178/versions,Angeleyes,https://secondhandsongs.com/artist/102314,Sweden,1999
ABBA Medley,https://secondhandsongs.com/performance/1407839/versions,Patricia Lewis,https://secondhandsongs.com/artist/209851,South Africa,2000
Gimme Gimme Gimme (A Man After Midnight),https://secondhandsongs.com/performance/397874/versions,Black Ingvars,https://secondhandsongs.com/artist/55247,Sweden,2000
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/31909/versions,Sinergy,https://secondhandsongs.com/artist/14906,Finland,2001
Gimme Gimme Gimme (A Man After Midnight),https://secondhandsongs.com/performance/98033/versions,Therapy? [GB2],https://secondhandsongs.com/artist/3094,United Kingdom,2001
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/1155519/versions,"Olivia, Jenifer et Carine",https://secondhandsongs.com/artist/30232+41956+181732,France,2001
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/28150/versions,Beseech,https://secondhandsongs.com/artist/15588,Sweden,2002
Gimme! Gimme! Gimme!,https://secondhandsongs.com/performance/20516/versions,Nils Landgren Funk Unit,https://secondhandsongs.com/artist/12351,Sweden,2004
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/500671/versions,Julie Forsyth,https://secondhandsongs.com/artist/46458,United Kingdom,2004
Gimme! Gimme! Gimme! (A Man After Midnight),https://secondhandsongs.com/performance/26616/versions,Vanguarde,https://secondhandsongs.com/artist/15085,France,2004
